word,partOfSpeech,IPA,meaning,example,exampleForQuiz
outfit,noun,/ˈaʊtˌfɪt/,trang phục (nói chung),Your outfit today isfascinating!,Your outfit today is___________!
chic,adjective,/ʃik/,"phong cách, tao nhã",I love your hair today – It’s verychic.,I love your hair today – It’s very____.
designer label,noun,/dɪˈzaɪnər ˈleɪbəl/,thương hiệu thiết kế nổi tiếng,"Speaking ofdesigner labels, you cannot ignore Chanel.","Speaking of_______________, you cannot ignore Chanel."
attire,noun,/əˈtaɪər/,quần áo (thiên về đồ trang trọng),I don’t think jeans are the appropriateattirefor this occasion.,I don’t think jeans are the appropriate_______for this occasion.
mix and match,verb,/mɪks ænd mæʧ/,phối đồ,Shemixes and matchesher uniform in a significant way.,She_________________her uniform in a significant way.
off-the-peg,adjective,/ɔf-ðə-pɛɡ/,được may sẵn để bán,Anoff-the-pegtuxedo,An___________tuxedo
ready-to-wear,adjective,/ˈrɛdi-tu-wɛr/,được may sẵn để bán,The brand has just launched aready-to-wear collection for this summer.,The brand has just launched a_______________ollection for this summer.
hipster,noun,/ˈhɪp.stɚ/,người có gu thẩm mỹ về một lĩnh vực nhất địnhtiểu văn hóa đương đại,Hipstersdress unconventionally and interestingly.,_________dress unconventionally and interestingly.
pricey,adjective,/ˈpraɪsi/,đắt đỏ,Designer clothes arepricey.,Designer clothes are______.
wardrobe,noun,/ˈwɔrˌdroʊb/,tủ quần áotoàn bộ quần áo bạn có,Coats are hung in thewardrobe.,Coats are hung in the________.
unfathomable,adjective,/ənˈfæðəməbəl/,khó hiểu,Avant garde style has unique designs that areunfathomable.,Avant garde style has unique designs that are____________.
bespoke,adjective,/bɪˈspoʊk/,được may riêng,Abespoketailor,A________tailor
slavishly,adverb,/ˈslævɪʃli/,"mù quáng, nô lệ",I don’t follow fashion trendsslavishly.,I don’t follow fashion trends_________.
tuxedo,noun,/ˌtʌkˈsidoʊ/,"bộ trang phục lịch sự cho nam giới gồm: áo khoác, quần tây, cà vạt/ nơ",There is atuxedostore in the alley.,There is a_______store in the alley.
bow tie,noun,/baʊ taɪ/,nơ cổ,A bow tieis the perfect final touch for a suit.,_________is the perfect final touch for a suit.
pocket squares,noun,/ˈpɑkət skwɛrz/,khăn túi cài trên túi ngực,Pocket squarescan upgrade a suit.,_______________can upgrade a suit.
loungewear,noun,/ˈlaʊndʒ.wer/,đồ thoải mái (thường mặc ở nhà),I like to wear cuteloungewearat home and not wear makeup.,I like to wear cute__________at home and not wear makeup.
conformist,noun,/kənˈfɔrmɪst/,người tuân thủ (hành xử như bao người),Conformistsrarely wear stand out clothes.,____________rarely wear stand out clothes.
dress down,phrase,/drɛs daʊn/,mặc đồ bớt lịch sự,Officers oftendress downevery Friday.,Officers often___________every Friday.
relaxed-fit,idiom,/rɪˈlækst-fɪt/,vừa vặn thoải mái,Our customers preferrelaxed-fitjeans to skinny jeans.,Our customers prefer___________jeans to skinny jeans.
over-extravagant,adjective,/ˌoʊvərɛkˈstrævəɡənt/,quá đắtvượt tầm với,"$1,000 for a bag isover-extravagant!","$1,000 for a bag is_________________!"
