word,partOfSpeech,IPA,meaning,example,exampleForQuiz
family gathering,noun,/ˈfæməli ˈɡæðərɪŋ/,sum họp gia đình,Dinner time is the most popularfamily gatheringmoment.,Dinner time is the most popular________________moment.
fatherhood,noun,/ˈfɑðərˌhʊd/,cương vị làm bố,He cannot enjoy beingfatherhoodwhen his child has not yet reached adulthood.,He cannot enjoy being___________when his child has not yet reached adulthood.
formative years,noun,/ˈfɔrmətɪv jɪrz/,những năm hình thành,An adult’s personality is greatly influenced by hisformative years.,An adult’s personality is greatly influenced by his_________________
foster,verb,/ˈfɑstər/,nuôi nấng (trẻ không phải con mình),My aunt fostered me after my parents passed away.,My aunt fostered me after my parents passed away.
have something in common,phrase,/hæv ˈsʌmθɪŋ ɪn ˈkɑmən/,có điểm gì đó chung,We don’thave anything in common.,We don’t________________________
immediate family,noun,/ɪˈmidiət ˈfæməli/,gia đình ruột thịt,"Immediate familyincludes the closest relationships, such as parents, siblings, and children.","I_______________includes the closest relationships, such as parents, siblings, and children."
infant,noun,/ˈɪnfənt/,trẻ sơ sinh,The newborninfantwas destined to become king.,The newborn_______was destined to become king.
inherit,verb,/ɪnˈhɛrət/,"thừa kế, thừa hưởng",His natural musical talent wasinheritedfrom his father.,His natural musical talent was_________from his father.
instinct,noun,/ˈɪnstɪŋkt/,bản năng,She saved her child thanks to her motherlyinstincts.,She saved her child thanks to her motherly_________.
interaction,noun,/ˌɪntəˈrækʃən/,sự tương tác,Onlineinteraction,Online___________
maternal,adjective,/məˈtɜrnəl/,liên quan đến mẹ,Maternaluncle,________uncle
maternal instinct,noun,/məˈtɜrnəl ˈɪnstɪŋkt/,bản năng làm mẹ,She has very strongmaternal instincts.,She has very strong___________________
motherhood,noun,/ˈmʌðərˌhʊd/,"tình mẹ, đạo làm mẹ",She quit her job formotherhood.,She quit her job for__________.
nature,noun,/ˈneɪʧər/,bản chất,He has a generousnature.,He has a generous______.
naughty,adjective,/ˈnɔti/,nghịch ngợm,Naughtyboy,________boy
nurture,verb,/ˈnɜrʧər/,"nuôi dưỡng, chăm sóc",A carefullynurturedchild,A carefully________child
overprotective parents,noun,/ˌoʊvərprəˈtɛktəv ˈpɛrənts/,bố mẹ bao bọc quá mức,Children withoverprotective parentseasily become shy and indecisive.,Children with_______________________easily become shy and indecisive.
play truant,phrase,/pleɪ ˈtruənt/,trốn học,That boy was very stubborn and oftenplayed truantfrom class.,That boy was very stubborn and often_____________from class.
relate (to),verb,/rɪˈleɪt (tu)/,"liên quan đến, gợi nhắc đến",This camerarelatesto my father.,This camera________to my father.
relative,noun,/ˈrɛlətɪv/,họ hàng,I have norelatives.,I have no_________.
reminisce,verb,/ˌrɛməˈnɪs/,hồi tưởng lại,"Ireminiscewhen I was little, I used to play on the swings in the yard.","I__________when I was little, I used to play on the swings in the yard."
resemblance,noun,/rɪˈzɛmbləns/,sự giống nhau,My mother and I have someresemblances.,My mother and I have some____________.
rewarding,adjective,/rɪˈwɔrdɪŋ/,đáng,Arewardingposition,A_________position
run in the family,idiom,/rʌn ɪn ðə ˈfæməli/,"đặc điểm di truyền, sự giống nhau trong gia đình",They’re all unfortunate. It seems torun in that family.,They’re all unfortunate. It seems to___________________
sibling rivalry,noun,/ˈsɪblɪŋ ˈraɪvəlri/,sự ganh đua giữa anh chị em ruột,Sibling rivalrymakes many mothers tired.,_______________makes many mothers tired.
stepson,noun,/ˈstɛpˌsʌn/,con trai riêng (ngoài giá thú),He intended to leave all his assets to hisstepson.,He intended to leave all his assets to his_______.
striking resemblance,noun,/ˈstraɪkɪŋ rɪˈzɛmbləns/,nét tương đồng nổi bật,Thestriking resemblancebetween my father and I is our eyes.,The_____________________between my father and I is our eyes.
temperament,noun,/ˈtɛmprəmənt/,tính cách bẩm sinh,Hertemperamentis inherently strong.,Her____________is inherently strong.
ties,noun,/taɪz/,sự liên kết mật khít,Familyties,Family____
upbringing,noun,/ˈʌpˌbrɪŋɪŋ/,"sự dạy dỗ, giáo dục",She had a sternupbringing.,She had a stern__________.
