word,partOfSpeech,IPA,meaning,example,exampleForQuiz
mainstream,adjective,/ˈmeɪnˌstrim/,chính thống,Mainstreamcompanies,___________companies
mass media,noun,/mæs ˈmidiə/,phương tiện thông tin đại chúng,Mass mediahas become a political weapon that secretly influences people’s thoughts.,__________has become a political weapon that secretly influences people’s thoughts.
media,noun,/ˈmidiə/,phương tiện truyền thông,Tiktok is a popularmediatoday.,Tiktok is a popular______today.
network,noun,/ˈnɛˌtwɜrk/,mạng lưới,Socialnetwork,Social_______
newspaper,noun,/ˈnuzˌpeɪpər/,báo giấy,Morningnewspaper,Morning_________
newsstand,noun,/ˈnuzˌstænd/,quầy báo,We no longer seenewsstandstoday because everyone reads online newspapers.,We no longer see___________today because everyone reads online newspapers.
opinion,noun,/əˈpɪnjən/,"quan điểm, ý kiến",Viewer’sopinion,Viewer’s_______
paparazzi (số nhiều),noun,/pɑpɑˈrɔzi /,tay săn ảnh,Celebrities must always avoid encounteringpaparazziwhen going out.,Celebrities must always avoid encountering_________when going out.
pervasive,adjective,/pərˈveɪsɪv/,ngập tràn,Her scandal ispervasiveon social networks.,Her scandal is__________on social networks.
press,noun,/prɛs/,"bên báo chí, sự báo chí",She was praised by thepress.,She was praised by the_____.
privacy,noun,/ˈpraɪvəsi/,sự riêng tư,Personalprivacy,Personal_______
publication,noun,/ˌpʌblɪˈkeɪʃən/,sự công bố,Publicationof the winner,____________of the winner
publicity,noun,/pəˈblɪsəti/,tính công khaidư luận,The movie didn’t get muchpublicitywhen it was released.,The movie didn’t get much__________when it was released.
publisher,noun,/ˈpʌblɪʃər/,nhà xuất bản,Bookpublisher,Book_________
relevance,noun,/ˈrɛləvəns/,sự liên quan đến,Whatrelevancedoes that opinion have to this topic?,What__________does that opinion have to this topic?
safeguard,noun,/ˈseɪfˌɡɑrd/,"biện pháp bảo vệ, điều khoản bảo vệ",Management companies must havesafeguardsto protect artists.,Management companies must have___________to protect artists.
sensationalist,adjective,/sɛnˈseɪʃənəlɪst/,giật tít (tiêu cực),Sensationalistnews,______________news
speculation,noun,/ˌspɛkjəˈleɪʃən/,suy đoán,Speculationsabout her career are almost correct.,_____________about her career are almost correct.
superficial,adjective,/ˌsupərˈfɪʃəl/,bề nổinông cạn,That book was written at a verysuperficiallevel.,That book was written at a very____________level.
tabloid,noun,/ˈtæblɔɪd/,báo khổ nhỏ,Tabloidsonly publish brief news.,_________only publish brief news.
the Internet,noun,/ði ˈɪntərˌnɛt/,mạng In-tơ-nét,Young people often accessthe Internetin the evening.,Young people often access____________in the evening.
the news,noun,/ðə nuz/,tin tức mới nhất,What’sthe news?,What’s________?
the Web,noun,/ðə wɛb/,trang web,She’s been surfingthe Weball night long.,She’s been surfing_______all night long.
well-informed,adjective,/wɛl-ɪnˈfɔrmd/,hiểu biết về một chủ đề nhất định,Howwell-informedare you about our products?,How_____________are you about our products?
