word,partOfSpeech,IPA,meaning,example,exampleForQuiz
promotion,noun,/prəˈmoʊʃən/,sự thăng tiến,Don’t be afraid of making mistakes or you won’t have thepromotionopportunity.,Don’t be afraid of making mistakes or you won’t have the__________opportunity.
redundancy,noun,/rɪˈdʌndənsi/,nhân viên bị buộc thôi việc (vì nhiều lý do),50% of the workforce sufferedredundancywhen the company restructured.,50% of the workforce suffered___________when the company restructured.
résumé,noun,/ɑrésʌmé/,bản tóm tắt về điều gì cụ thể,Submit your projectrésuméat the end of the day.,Submit your project_______at the end of the day.
run a business,collocation,/rʌn ə ˈbɪznəs/,điều hành doanh nghiệp,She hasrun her own businesssince her second year of college.,She has____________________since her second year of college.
salary,noun,/ˈsæləri/,lương (cho nhân viên chính thức),Annualsalary,Annual______
schoolboy error,collocation,/ˈskulˌbɔɪ ˈɛrər/,"lỗi cơ bản, lỗi vặt",Aschoolboy errorcan have terrible consequences.,A_______________can have terrible consequences.
shift,noun,/ʃɪft/,ca làm việc,Nightshift,Night_____
sick leave,noun,/sɪk liv/,phép nghỉ ốm,"Factors to consider when choosing a company:sick leave, holiday entitlement and working conditions.","Factors to consider when choosing a company:__________, holiday entitlement and working conditions."
slack off,idiom,/slæk ɔf/,"bớt nỗ lực, làm việc kém hăng hái",He used to meet every deadline but recently he’s beenslacking offand has been late with all his assignments.,He used to meet every deadline but recently he’s been____________and has been late with all his assignments.
temporary,adjective,/ˈtɛmpəˌrɛri/,tạm thời,Temporarystaff,_________staff
wage,noun,/weɪʤ/,lương trả theo giờ/ khối lượng công việc,Temporary employees receivewagesinstead of salary.,Temporary employees receive______instead of salary.
well-paid,adjective,/wɛl-peɪd/,được trả lương cao,Awell-paidjob,A_________job
work for peanuts,idiom,/wɜrk fɔr ˈpinəts/,làm với mức lương thấp,College students often take jobs where theywork for peanutsto pay their tuition fees and living costs.,College students often take jobs where they________________to pay their tuition fees and living costs.
workforce,noun,/ˈwɜrkˌfɔrs/,nhân sự,The totalworkforceof our company exceeds 50 employees.,The total_________of our company exceeds 50 employees.
working condition,collocation,/ˈwɜrkɪŋ kənˈdɪʃən/,điều kiện làm việc (môi trường),Gen Z employees like to work at companies with goodworking conditions.,Gen Z employees like to work at companies with good___________________
working with hands,noun,/ˈwɜrkɪŋ wɪð hændz/,công việc chân tay,Working with handsis less stressful than working in an office.,__________________is less stressful than working in an office.
zero-hours contract,noun,/ˈzɪroʊ-ˈaʊərz ˈkɑnˌtrækt/,công việc không yêu cầu số giờ làm việc cố định,Zero-hourscontracts are very popular now in my country,__________contracts are very popular now in my country
