word,partOfSpeech,IPA,meaning,example,exampleForQuiz
N95 respirator (Non-Oil based mask with 95% efficiency),noun,/ɛn95 ˈrɛspəˌreɪtər/,khẩu trang không chứa dầu hiệu quả 95%,The price ofN95 respiratorduring the peak of the pandemic also increased dramatically.,The price of______________during the peak of the pandemic also increased dramatically.
outbreak,noun,/ˈaʊtˌbreɪk/,sự bùng phát,The pandemicoutbreakwas short-lived but lasted for months.,The pandemic_________was short-lived but lasted for months.
pandemic,noun,/pænˈdɛmɪk/,đại dịch,Covid-19pandemic,________pandemic
panic buying,noun,/ˈpænɪk ˈbaɪɪŋ/,mua sắm hoảng loạn,"Because of fear of a prolonged lockdown period,panic buyinghappens every day.","Because of fear of a prolonged lockdown period,____________happens every day."
PCR test (Polymerase chain reaction),noun,/pi-si-ɑr tɛst /,kiểm tra phản ứng chuỗi polymerase,Some patients have no symptoms butPCR testresults show positive for the virus.,Some patients have no symptoms but________results show positive for the virus.
pneumonia,noun,/nuˈmoʊnjə/,bệnh viêm phổi,People with underlying disease such aspneumoniaare more likely to be infected with the virus than normal people.,People with underlying disease such as_________are more likely to be infected with the virus than normal people.
PPE (personal protective equipment),noun,/pi-pi-i (ˈpɜrsɪnɪl prəˈtɛktɪv ɪˈkwɪpmənt)/,thiết bị bảo vệ cá nhân,Health care workers had to use newPPEfor each patient interaction.,Health care workers had to use new____for each patient interaction.
quarantine,noun,/ˈkwɔrənˌtin/,sự cách ly,People flying back from abroad must go to thequarantinearea during the outbreak.,People flying back from abroad must go to the___________area during the outbreak.
self-isolation,noun,/sɛlf-ˌaɪsəˈleɪʃən/,tự cách ly,Everyone needs to be aware ofself-isolation.,Everyone needs to be aware of______________.
shortness of breath,noun,/ˈʃɔrtnəs ʌv brɛθ/,sự khó thở,It’s a life-threatening condition when the patient hasshortness of breathand must use a respirator.,It’s a life-threatening condition when the patient has___________________and must use a respirator.
social distancing,noun,/ˈsoʊʃəl ˈdɪstənsɪŋ/,giãn cách xã hội,"To hinder the spread of disease,social distancingis necessary.","To hinder the spread of disease,_________________is necessary."
stockpile,"n, v",/ˈstɑkˌpaɪl/,đồ dự trữtích trữ,Food shortages occur because many families buy large quantities tostockpile.,Food shortages occur because many families buy large quantities to_________.
symptom,noun,/ˈsɪmptəm/,triệu chứng,"Commonsymptomsof coronavirus patients: cough, fever and loss of taste.","Common_________of coronavirus patients: cough, fever and loss of taste."
the Delta variant,noun,/ðə ˈdɛltə ˈvɛriənt/,biến thể delta,The Delta variantis about twice as contagious as previous variants.,_________________is about twice as contagious as previous variants.
unprecedented times,noun,/ənˈprɛsɪˌdɛntɪd taɪmz/,giai đoạn chưa từng có,We have gone throughunprecedented timesduring the pandemic.,We have gone through___________________during the pandemic.
vaccination,noun,/væksəˈneɪʃən/,sự tiêm chủng,The government has made efforts to meet thevaccinationneeds of the entire population.,The government has made efforts to meet the____________needs of the entire population.
vaccine,noun,/ˌvækˈsin/,vắc xin,People must receive 3 doses of thevaccinebefore being allowed to go to public places.,People must receive 3 doses of the________before being allowed to go to public places.
ventilator,noun,/ˈvɛntəˌleɪtər/,máy hô hấp nhân tạo,Aventilatortakes over the breathing process of a person so as to provide time for the lungs to heal.,A___________takes over the breathing process of a person so as to provide time for the lungs to heal.
WHO (World Health Organization),noun,/hu (wɜrld hɛlθ ˌɔrɡənəˈzeɪʃən)/,Tổ chức Y tế Thế giới,"According to data fromWHO, there have been more than 770 million Covid-19 infections and more than 6.9 million deaths.","According to data from___, there have been more than 770 million Covid-19 infections and more than 6.9 million deaths."
work from home,verb,/wɜrk frʌm hoʊm/,làm việc tại nhà,Companies let employeeswork from home.,Companies let employees_______________
