word,partOfSpeech,IPA,meaning,example,exampleForQuiz
expression,noun,/ɪkˈsprɛʃən/,"sự bày tỏ, biểu cảm",The reader feels theexpressionof the author’s love for the sea through every word.,The reader feels the___________of the author’s love for the sea through every word.
festival,noun,/ˈfɛstəvəl/,lễ hội,Foodfestival,Food________
fundamental,adjective,/ˌfʌndəˈmɛntəl/,"nền tảng, cơ bản",Fundamentalfactors,____________factors
gallery,noun,/ˈɡæləri/,phòng trưng bày,NationalGallery,National_______
image,noun,/ˈɪməʤ/,ảnh (trong tâm trí),In my mind is the image of a glittering balloon.,In my mind is the image of a glittering balloon.
imagination,noun,/ɪˌmæʤəˈneɪʃən/,trí tưởng tượng,Imaginationsometimes also requires knowledge.,____________sometimes also requires knowledge.
influence,noun,/ˈɪnfluəns/,sự ảnh hưởng,The story is under theinfluenceof feudal ideologyThe story is under the influence of feudal ideology.,The story is under the_________of feudal ideologyThe story is under the influence of feudal ideology.
influential,adjective,/ˌɪnfluˈɛnʧəl/,có ảnh hưởng,It’s quite aninfluentialjob for her.,It’s quite an____________job for her.
inspiration,noun,/ˌɪnspəˈreɪʃən/,nguồn cảm hứng,Nature is a source ofinspirationfor every author.,Nature is a source of____________for every author.
intimacy,noun,/ˈɪntəməsi/,sự thân mật,Intimacybetween employees in the company is not recommended.,_________between employees in the company is not recommended.
literature,noun,/ˈlɪtərəʧər/,văn học,Ancient Greekliterature,Ancient Greek__________
monotonous,adjective,/məˈnɑtənəs/,đơn điệu,Amonotonousshirt,A___________shirt
mood,noun,/mud/,tâm trạng,She only composes a song when she’s in themood.,She only composes a song when she’s in the____.
mundane,adjective,/mənˈdeɪn/,"vô vị, tầm thường",Amundanebook,A________book
musician,noun,/mjuˈzɪʃən/,nhạc sĩ,How to become amusician?,How to become a________?
opera,noun,/ˈɑprə/,nhạc kịch opera,The art of Italianoperais recognized by UNESCO as an intangible cultural heritage.,The art of Italian______is recognized by UNESCO as an intangible cultural heritage.
orchestra,noun,/ˈɔrkəstrə/,dàn nhạc,She is a pianist in a symphonyorchestra.,She is a pianist in a symphony_________.
painting,noun,/ˈpeɪntɪŋ/,bức họahội họa,Paintingis a type of art.,_________is a type of art.
passionate,adjective,/ˈpæʃənət/,"nhiệt huyết, đam mê",Apassionaterelationship,A___________relationship
performance,noun,/pərˈfɔrməns/,sự trình diễn,Musicperformance,Music___________
play,noun,/pleɪ/,vở kịch,Theatreplay,Theatre____
portrait,noun,/ˈpɔrtrət/,chân dung,Portraitphotography,_________photography
proportion,noun,/prəˈpɔrʃən/,"tỷ lệ (kích cỡ,…)",Proportioncan affect the artistry of the work.,___________can affect the artistry of the work.
provoke,verb,/prəˈvoʊk/,"tác động vào, gây ra (hành động, cảm xúc)",His wife’s death provoked hisloneliness.,His wife’s death provoked his__________.
reflection,noun,/rəˈflɛkʃən/,phản chiếu,The main character is areflectionof the author himself.,The main character is a___________of the author himself.
response,noun,/rɪˈspɑns/,phản hồi,I’m still waiting for herresponse.,I’m still waiting for her________.
sculptor,noun,/ˈskʌlptər/,nhà điêu khắc,Woodsculptor,Wood________
sculpture,noun,/ˈskʌlpʧər/,nghệ thuật điêu khắccông trình điêu khắc,Lac Long Quan’s National Ancestor sculpture,Lac Long Quan’s National Ancestor sculpture
stimulus,noun,/ˈstɪmjələs/,"tác nhân, sự khuyến khích",Her mother’s films were thestimulusfor her to pursue a career as an actress.,Her mother’s films were the_________for her to pursue a career as an actress.
taste,adjective,/teɪst/,gu thẩm mỹ,Fashiontaste,Fashion_____
the performing arts,phrase,/ðə pərˈfɔrmɪŋ ɑrts/,biểu diễn nghệ thuật,The Evolution ofPerforming Arts,The Evolution of_______________
theme,adjective,/θim/,"đề tài, chủ đề lớn",Thethemeof the play is white and blue.,The______of the play is white and blue.
venue,adjective,/ˈvɛnju/,"không gian, địa điểm",Weddingvenue,Wedding_____
vivid,adjective,/ˈvɪvɪd/,"rõ ràng, sinh động",Vividchildhood memories,______childhood memories
works,adjective,/wɜrks/,"tác phẩm, công trình",Irrigationworks,Irrigation_____
