word,partOfSpeech,IPA,meaning,example,exampleForQuiz
law-abiding,adjective,/lɔ-əˈbaɪdɪŋ/,tôn trọng pháp luật,Law-abidingcitizens,____________citizens
lawyer,noun,/ˈlɔjər/,luật sư,The defendant is allowed to hire alawyerto defend him in court.,The defendant is allowed to hire a_______to defend him in court.
motive,noun,/ˈmoʊtɪv/,động cơ gây án,Themotivefor the murder is related to an old feud.,The_______for the murder is related to an old feud.
murder,noun,/ˈmɜrdər/,sát nhânvụ án giết người,Africa had the highest number ofmurdersin the world in 2021.,Africa had the highest number of________in the world in 2021.
non-violent,adjective,/nɑnˈvaɪələnt/,không bạo lực,The school follows anon-violentpolicy!,The school follows a____________policy!
offence,noun,/offence/,hành vi phạm tội,A seriousoffence,A serious_______
offensive,adjective,/əˈfɛnsɪv/,"xúc phạm, nhục mạ",Offensive Words,Offensive Words
on trial,adjective,/ɑn ˈtraɪəl/,đang bị xét xử,The prisoner ison trialafter causing a disturbance in prison.,The prisoner is________after causing a disturbance in prison.
perpetrate,verb,/ˈpɜrpəˌtreɪt/,gây tội,He promised to find the one whoperpetratedthe crime.,He promised to find the one who____________the crime.
petty,adjective,/ˈpɛti/,"vụn vặt, nhỏ",Pettydetails can be the crux of the case.,______details can be the crux of the case.
pickpocketing,noun,/ˈpɪkˌpɑkətɪŋ/,móc túi,Pickpocketingoften occurs in crowded places.,_____________often occurs in crowded places.
prevention,noun,/priˈvɛnʃən/,sự ngăn chặn,Crimeprevention,Crime__________
prison,noun,/ˈprɪzən/,nhà tù,Hoa Loprison,Hoa Lo______
prisoner,noun,/ˈprɪzənər/,tù nhân,Hoa Lo Prison holds about 500prisoners.,Hoa Lo Prison holds about 500_________.
property crime,noun,/ˈprɑpərti kraɪm/,tội phạm về tài sản,Propertycrimein Japan can be imprisoned for less than 10 years.,Property______in Japan can be imprisoned for less than 10 years.
prosecutor,noun,/ˈprɑsɪˌkjutər/,người truy tố,A publicprosecutor,A public__________
protection,noun,/prəˈtɛkʃən/,sự bảo vệ,Witnessprotectionprogram,Witness___________program
punishment,noun,/ˈpʌnɪʃmənt/,hình phạt,Appropriatepunishment,Appropriate__________
recklessness,noun,/ˈrɛkləsnəs/,"sự khinh suất, coi thường",The car crash was the result ofrecklessness..,The car crash was the result of_____________.
smuggling,noun,/ˈsmʌɡlɪŋ/,buôn lậu xuyên biên giới,Drugsmuggling,Drug_________
social system,noun,/ˈsoʊʃəl ˈsɪstəm/,hệ thống xã hội,Social systemstheory was put forth by Talcott Parsons.,______________theory was put forth by Talcott Parsons.
strict,adjective,/strɪkt/,khắt khe,That warden was famous for beingstrict.,That warden was famous for being_______
swearing,noun,/ˈswɛrɪŋ/,chửi thề,Swearingis prohibited in court!,_________is prohibited in court!
the accused,noun,/ði əˈkjuzd/,bị cáo,Theaccuseddefended himself.,The________defended himself.
toxic waste,noun,/ˈtɑksɪk weɪst,chất thải độc hại,Toxic wastefrom factories,___________from factories
vandalism,noun,/ˈvændəlɪzəm/,thói phá hoại,Cutting down the public trees was an act ofvandalism.,Cutting down the public trees was an act of_________.
victim,noun,/ˈvɪktəm/,nạn nhân,Victimsof school violence,________of school violence
violation,noun,/vaɪəˈleɪʃən/,sự xâm phạm,Violatehuman rights,________human rights
