word,partOfSpeech,IPA,meaning,example,exampleForQuiz
stunning,adjective,/ˈstʌnɪŋ/,đẹp choáng ngợp,Astunningblack dress,A_________black dress
tough,adjective,/tʌf/,khó khănbền bỉ,The journey to conquer Mount Everest is extremelytough.,The journey to conquer Mount Everest is extremely______
tourism,noun,/ˈtʊˌrɪzəm/,"ngành du lịch, dịch vụ du lịch",Tourismin Thailand is often related to cuisine.,________in Thailand is often related to cuisine.
tourist,noun,/ˈtʊrəst/,khách du lịch,Vietnam welcomes millions oftouristsevery year.,Vietnam welcomes millions of_________every year.
traditional,adjective,/trəˈdɪʃənəl/,truyền thống,Traditionalcostumes,____________costumes
transport,noun,/ˈtrænspɔrt/,"giao thông, phương tiện",Publictransport,Public_________
travel,"n, v",/ˈtrævəl/,"du lịch, di chuyển",Itraveledto about 10 countries last year.,I_________to about 10 countries last year.
travelling,noun,/ˈtrævəlɪŋ/,"sự đi du lịch, dịch chuyển",I hatetravellingthat involves work.,I hate___________that involves work.
trend,noun,/trɛnd/,xu hướng,“Sleep tourism” has become atrendover the past year.,“Sleep tourism” has become a______over the past year.
trip,noun,/trɪp/,"chuyến đi, hành trình",We’re going on atripto Shanghai this winter.,We’re going on a____to Shanghai this winter.
unspoilt,adjective,/unspoilt/,hoang sơ,Unspoiltforest,_________forest
urban,adjective,/ˈɜrbən/,(thuộc) đô thị,She’s a genuineurbangirl.,She’s a genuine_____girl.
village,noun,/ˈvɪləʤ/,"làng, ngôi làng",Beautifulvillagescenery,Beautiful________scenery
